"logFC" "logCPM" "PValue" "FDR"
"AT1G26250" -2.60938735618541 1.81723584757829 0.00164425429839021 0.778288087408446
"AT1G15405" 2.7537360640503 1.81907305476986 0.00173403509592636 0.809384964844406
"AT5G57810" 4.14313836624967 0.770533781210348 0.00177410599369218 0.816744933287848
"AT2G33790" -2.40841393136607 2.51157581167234 0.00187458918571419 0.849734052418104
"AT2G28290" -2.14015261816543 5.7814170552613 0.00189830215088715 0.849734052418104
"AT4G19690" 2.15933760293002 5.32419285223602 0.00192161716260826 0.849734052418104
"AT5G24420" -2.31396137026502 2.83021741845186 0.00196532212328276 0.857773773989138
"AT5G06640" -2.57774513861206 1.79123194709184 0.0020415033608477 0.879600044205239
"AT3G50370" -2.11610759508506 5.86892065130333 0.0020974908884573 0.892283244156766
"AT1G78970" 2.17091520958625 4.64259074956203 0.00213282997917829 0.895224832766988
"AT2G05540" -2.19011989409416 3.70316539662217 0.00215768177624084 0.895224832766988
"AT1G08630" 4.09607062447288 0.732128315510011 0.00222797953938056 0.91311839487759
"AT4G27595" -2.18709369750756 3.64912625286519 0.00243544720041077 0.986121374267528
"AT1G78206" 2.57755679722612 1.87720936395546 0.00254576568878847 1
"AT3G15450" -2.09592713142137 4.43903197995567 0.00272329387769804 1
"AT4G22505" -2.13457675750127 4.05455081901472 0.00273441488278682 1
"AT4G19810" -2.16817598973759 3.49620795711861 0.00273962023739037 1
"AT5G11930" 3.01095250704115 1.14965557068583 0.00276276409315918 1
"AT2G23330" -2.66297773650999 1.29939580444677 0.00301688174393118 1
"AT3G49110" -2.36433656118078 2.18953367932263 0.0030193329737682 1
"AT4G12470" -2.08303778116239 4.41412438895849 0.00311358892145873 1
"AT2G22810" 3.34027113760654 0.922712494264717 0.00311863394616439 1
"AT3G07425" 3.29739975501342 0.888323108271957 0.00311863394616439 1
"AT5G38910" 3.29739975501342 0.888323108271957 0.00311863394616439 1
"AT3G05680" -2.03918125759533 5.07253624379437 0.00329051113036713 1
"AT4G12490" -2.96983634706305 0.916666939137452 0.00330472866551874 1
"AT4G22470" -2.96983634706305 0.916666939137452 0.00330472866551874 1
"AT4G11190" 2.05825139810174 4.83820543014332 0.00331494254253753 1
"AT4G33550" 2.10847468733723 3.90123545808893 0.00354330623765145 1
"AT5G06630" -3.20652377937216 0.452804816834024 0.00356754128733709 1
"AT1G16110" -2.32208720383833 1.89794384440109 0.00358328723663245 1
"AT4G36670" -2.08526952441543 3.59300602290914 0.00385817768598161 1
"AT4G20440" -1.99471549321154 4.86458524526523 0.0039105008114814 1
"AT3G02000" 2.93724344861011 1.09079674361955 0.00396476409114236 1
"AT5G60780" -2.91117215972421 0.869491185097768 0.00396476409114236 1
"AT4G23260" -2.02594820280606 3.88821909240886 0.00404192343946694 1
"AT1G18830" -3.39626101586498 0.115561800244391 0.00406643732561418 1
"AT5G03620" -3.39626101586498 0.115561800244391 0.00406643732561418 1
"AT1G11265" -6.71920761912972 -0.41085360175351 0.0041656591059309 1
"AT3G21890" 6.61896128065668 -0.115563616219824 0.0041656591059309 1
"AT4G26540" -2.03833461685419 3.8776031546118 0.00426843083462825 1
"AT5G07740" -1.99111386804446 4.28106406285913 0.00440956548768544 1
"AT1G05135" -2.06096205562952 3.2583396948389 0.00454683749884335 1
"AT1G65970" 2.07998840634308 3.57578836065161 0.00459280595506057 1
"AT4G19120" -1.92507116803393 7.11077709309402 0.00461997387002116 1
"AT3G21720" 1.98070086264211 4.55252829345556 0.00464575798285164 1
"AT4G22285" -1.95807573397685 4.85569729933933 0.00467038978914776 1
"AT4G19160" -1.9432067499073 5.36811792993607 0.00476782180076922 1
"AT1G70320" -1.9136179417133 6.73187588072184 0.00489688073774194 1
"AT3G17360" -1.98917383725229 3.83857112307443 0.00517657279753126 1
"AT5G18430" -2.16831728155617 2.25173674707094 0.0052446770819789 1
"AT1G52040" 2.09851742874083 3.09130180851609 0.00525133171909982 1
"AT5G10572" 2.61277964772611 1.47165950525059 0.00532896198915214 1
"AT2G17930" -1.9055831170474 5.22225060484489 0.00556120176920941 1
"AT5G45820" -1.91810252439298 4.72018682780978 0.00559538224575001 1
"AT1G01580" 1.96403810712582 4.2245153176499 0.00564176978961282 1
"AT2G27420" 1.99897564169738 3.63300581832109 0.00564696357170603 1
"AT1G73325" 3.83451077575077 0.521785414490539 0.0058370723201565 1
"AT5G23950" 3.83451077575077 0.521785414490539 0.0058370723201565 1
"AT1G78030" 3.16056698304277 0.779561257856919 0.00585896790488766 1
"AT2G30750" 3.16056698304277 0.779561257856919 0.00585896790488766 1
"AT4G08570" 2.09748464397675 3.02945854366608 0.0058783568389462 1
"AT5G44800" -1.88286031126948 5.150487550013 0.00627576865704893 1
"AT1G80520" 2.15466442827526 2.55304160147713 0.00637123622780983 1
"AT1G79245" -1.85715010253097 5.89751465185494 0.00641297167410166 1
"AT1G03060" -1.87517826547352 5.00447098946241 0.00641803807864052 1
"AT1G14250" -1.89012025303807 4.55084732064041 0.0065670895088559 1
"AT4G35800" -1.84932151979134 6.06911416731832 0.00668548399588607 1
"AT5G23110" -1.88044868629048 4.57865041050785 0.00669149946791713 1
"AT3G16670" -1.87899585934545 4.58911411785222 0.00675281375735952 1
"AT1G15125" -2.06264372031325 2.57858450350579 0.00687201351473893 1
"AT1G61810" 2.77746448063772 0.964769543161271 0.00697491741424404 1
"AT5G37260" 1.84196098653724 5.90969377450456 0.00698727266365959 1
"AT1G76930" -1.8965248433492 3.99412984123045 0.00700225460346128 1
"AT5G44210" 2.32361366715348 1.67603174857061 0.00728156586200345 1
"AT4G14819" 3.11191172409423 0.741266316461266 0.00728935726099651 1
